	id	doi	title	year	journal	publisher	resulting_publication_doi	pmid	pmcid	type	date	date_online	date_print	open_access_categories_v2	categories	field_citation_ratio	times_cited	relative_citation_ratio	altmetrics_score	altmetrics_id
0	pub.1126768313	10.2139/ssrn.3575633	Economic Preferences and Compliance in the Social Stress Test of the Corona Crisis	2020	SSRN Electronic Journal	Elsevier				preprint	2020			['oa_all' 'green']	"{'bra_v1': None, 'for_v1': {'first_level': {'codes': array(['14'], dtype=object), 'full': array([{'id': '2214', 'code': '14', 'name': 'Economics'}], dtype=object)}, 'second_level': {'codes': array(['1402'], dtype=object), 'full': array([{'id': '3292', 'code': '1402', 'name': 'Applied Economics'}],
      dtype=object)}}, 'hra_v1': None, 'hrcs_hc_v1': None, 'hrcs_rac_v1': None, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': {'values': array(['Basic Behavioral and Social Science',
       'Behavioral and Social Science', 'Patient Safety'], dtype=object), 'full': array([{'id': '497', 'value': 'Basic Behavioral and Social Science'},
       {'id': '498', 'value': 'Behavioral and Social Science'},
       {'id': '546', 'value': 'Patient Safety'}], dtype=object)}, 'sdg_v1': None, 'uoa_v1': {'codes': array(['C17'], dtype=object), 'full': array([{'id': '30017', 'code': 'C17', 'name': 'Business and Management Studies'}],
      dtype=object)}}"		8			
1	pub.1135164226	10.2139/ssrn.3738617	The Credit Composition of Global Liquidity	2020	SSRN Electronic Journal	Elsevier				preprint	2020			['oa_all' 'green']	"{'bra_v1': None, 'for_v1': {'first_level': {'codes': array(['14'], dtype=object), 'full': array([{'id': '2214', 'code': '14', 'name': 'Economics'}], dtype=object)}, 'second_level': {'codes': array(['1402', '1403'], dtype=object), 'full': array([{'id': '3292', 'code': '1402', 'name': 'Applied Economics'},
       {'id': '3313', 'code': '1403', 'name': 'Econometrics'}],
      dtype=object)}}, 'hra_v1': None, 'hrcs_hc_v1': None, 'hrcs_rac_v1': None, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': None, 'sdg_v1': None, 'uoa_v1': {'codes': array(['C17'], dtype=object), 'full': array([{'id': '30017', 'code': 'C17', 'name': 'Business and Management Studies'}],
      dtype=object)}}"		0			
2	pub.1129925107	10.2139/ssrn.3661798	Mask Wars: China's Exports of Medical Goods in Times of COVID-19	2020	SSRN Electronic Journal	Elsevier				preprint	2020			['oa_all' 'green']	"{'bra_v1': None, 'for_v1': {'first_level': {'codes': array(['16'], dtype=object), 'full': array([{'id': '2216', 'code': '16', 'name': 'Studies in Human Society'}],
      dtype=object)}, 'second_level': {'codes': array(['1606'], dtype=object), 'full': array([{'id': '3432', 'code': '1606', 'name': 'Political Science'}],
      dtype=object)}}, 'hra_v1': None, 'hrcs_hc_v1': None, 'hrcs_rac_v1': None, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': None, 'sdg_v1': None, 'uoa_v1': {'codes': array(['C19'], dtype=object), 'full': array([{'id': '30019', 'code': 'C19', 'name': 'Politics and International Studies'}],
      dtype=object)}}"		3			
3	pub.1128004980	10.5414/alx02147e	Allergen immunotherapy in the current COVID-19 pandemic: A position paper of AeDA, ARIA, EAACI, DGAKI and GPA	2020	Allergologie select	Dustri-Verlgag Dr. Karl Feistle		32568272		article	2020-01-01	2020-05-28	2020-01-01	['oa_all' 'green']	{'bra_v1': None, 'for_v1': None, 'hra_v1': None, 'hrcs_hc_v1': None, 'hrcs_rac_v1': None, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': None, 'sdg_v1': None, 'uoa_v1': None}		8		3.0	96693033
4	pub.1130687096	10.5414/alx02166e	Use of biologicals in allergic and type-2 inflammatory diseases during the current COVID-19 pandemic	2020	Allergologie select	Dustri-Verlgag Dr. Karl Feistle		32915172	7480069	article	2020-01-01	2020-09-07	2020-01-01	['oa_all' 'green']	"{'bra_v1': {'values': array(['Clinical Medicine and Science'], dtype=object), 'full': array([{'id': '4001', 'value': 'Clinical Medicine and Science'}],
      dtype=object)}, 'for_v1': {'first_level': {'codes': array(['11'], dtype=object), 'full': array([{'id': '2211', 'code': '11', 'name': 'Medical and Health Sciences'}],
      dtype=object)}, 'second_level': {'codes': array(['1107'], dtype=object), 'full': array([{'id': '3103', 'code': '1107', 'name': 'Immunology'}], dtype=object)}}, 'hra_v1': None, 'hrcs_hc_v1': {'values': array(['Inflammatory and immune system'], dtype=object), 'full': array([{'id': '903', 'value': 'Inflammatory and immune system'}],
      dtype=object)}, 'hrcs_rac_v1': None, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': {'values': array(['Lung', 'Biodefense', 'Clinical Research',
       'Emerging Infectious Diseases', 'Infectious Diseases',
       'Patient Safety', 'Prevention', 'Vaccine Related'], dtype=object), 'full': array([{'id': '410', 'value': 'Lung'},
       {'id': '499', 'value': 'Biodefense'},
       {'id': '507', 'value': 'Clinical Research'},
       {'id': '520', 'value': 'Emerging Infectious Diseases'},
       {'id': '533', 'value': 'Infectious Diseases'},
       {'id': '546', 'value': 'Patient Safety'},
       {'id': '558', 'value': 'Prevention'},
       {'id': '583', 'value': 'Vaccine Related'}], dtype=object)}, 'sdg_v1': None, 'uoa_v1': {'codes': array(['A01'], dtype=object), 'full': array([{'id': '30001', 'code': 'A01', 'name': 'Clinical Medicine'}],
      dtype=object)}}"		12			
5	pub.1124214819	10.1080/22221751.2020.1713705	Polymorphisms in dipeptidyl peptidase 4 reduce host cell entry of Middle East respiratory syndrome coronavirus	2020	Emerging Microbes & Infections	Taylor & Francis		31964246	7006675	article	2020-01-01	2020-01-21	2020-01-01	['oa_all' 'gold']	"{'bra_v1': {'values': array(['Basic Science'], dtype=object), 'full': array([{'id': '4000', 'value': 'Basic Science'}], dtype=object)}, 'for_v1': {'first_level': {'codes': array(['06'], dtype=object), 'full': array([{'id': '2206', 'code': '06', 'name': 'Biological Sciences'}],
      dtype=object)}, 'second_level': {'codes': array(['0605'], dtype=object), 'full': array([{'id': '2634', 'code': '0605', 'name': 'Microbiology'}],
      dtype=object)}}, 'hra_v1': {'values': array(['Biomedical'], dtype=object), 'full': array([{'id': '3900', 'value': 'Biomedical'}], dtype=object)}, 'hrcs_hc_v1': None, 'hrcs_rac_v1': {'codes': array(['2.1'], dtype=object), 'full': array([{'id': '10201', 'code': '2.1', 'name': 'Biological and endogenous factors'}],
      dtype=object)}, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': {'values': array(['Biodefense', 'Emerging Infectious Diseases',
       'Infectious Diseases', 'Prevention', 'Vaccine Related'],
      dtype=object), 'full': array([{'id': '499', 'value': 'Biodefense'},
       {'id': '520', 'value': 'Emerging Infectious Diseases'},
       {'id': '533', 'value': 'Infectious Diseases'},
       {'id': '558', 'value': 'Prevention'},
       {'id': '583', 'value': 'Vaccine Related'}], dtype=object)}, 'sdg_v1': None, 'uoa_v1': {'codes': array(['A01'], dtype=object), 'full': array([{'id': '30001', 'code': 'A01', 'name': 'Clinical Medicine'}],
      dtype=object)}}"		49		14.0	74441505
6	pub.1124079136	10.1016/j.mcp.2020.101511	Evaluating two approaches for using positive control in standardizing the avian influenza H5 reverse transcription recombinase polymerase amplification assay	2020	Molecular and Cellular Probes	Elsevier		31953221		article	2020-01-15	2020-01-15	2020-04	['closed']	"{'bra_v1': None, 'for_v1': {'first_level': {'codes': array(['03', '06'], dtype=object), 'full': array([{'id': '2203', 'code': '03', 'name': 'Chemical Sciences'},
       {'id': '2206', 'code': '06', 'name': 'Biological Sciences'}],
      dtype=object)}, 'second_level': {'codes': array(['0304', '0601'], dtype=object), 'full': array([{'id': '2456', 'code': '0304', 'name': 'Medicinal and Biomolecular Chemistry'},
       {'id': '2581', 'code': '0601', 'name': 'Biochemistry and Cell Biology'}],
      dtype=object)}}, 'hra_v1': None, 'hrcs_hc_v1': {'values': array(['Infection'], dtype=object), 'full': array([{'id': '898', 'value': 'Infection'}], dtype=object)}, 'hrcs_rac_v1': {'codes': array(['4.2'], dtype=object), 'full': array([{'id': '10402', 'code': '4.2', 'name': 'Evaluation of markers and technologies'}],
      dtype=object)}, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': {'values': array(['Influenza', 'Emerging Infectious Diseases', 'Genetics',
       'Infectious Diseases', 'Pneumonia & Influenza', 'Prevention'],
      dtype=object), 'full': array([{'id': '370', 'value': 'Influenza'},
       {'id': '520', 'value': 'Emerging Infectious Diseases'},
       {'id': '526', 'value': 'Genetics'},
       {'id': '533', 'value': 'Infectious Diseases'},
       {'id': '556', 'value': 'Pneumonia & Influenza'},
       {'id': '558', 'value': 'Prevention'}], dtype=object)}, 'sdg_v1': None, 'uoa_v1': {'codes': array(['A06'], dtype=object), 'full': array([{'id': '30006', 'code': 'A06', 'name': 'Agriculture, Veterinary and Food Science'}],
      dtype=object)}}"		3			
7	pub.1124462509	10.1101/2020.01.31.929042	The novel coronavirus 2019 (2019-nCoV) uses the SARS-coronavirus receptor ACE2 and the cellular protease TMPRSS2 for entry into target cells	2020	bioRxiv	Cold Spring Harbor Laboratory				preprint	2020-01-31	2020-01-31		['oa_all' 'green']	"{'bra_v1': {'values': array(['Basic Science'], dtype=object), 'full': array([{'id': '4000', 'value': 'Basic Science'}], dtype=object)}, 'for_v1': {'first_level': {'codes': array(['06'], dtype=object), 'full': array([{'id': '2206', 'code': '06', 'name': 'Biological Sciences'}],
      dtype=object)}, 'second_level': {'codes': array(['0601'], dtype=object), 'full': array([{'id': '2581', 'code': '0601', 'name': 'Biochemistry and Cell Biology'}],
      dtype=object)}}, 'hra_v1': {'values': array(['Biomedical'], dtype=object), 'full': array([{'id': '3900', 'value': 'Biomedical'}], dtype=object)}, 'hrcs_hc_v1': {'values': array(['Infection'], dtype=object), 'full': array([{'id': '898', 'value': 'Infection'}], dtype=object)}, 'hrcs_rac_v1': None, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': {'values': array(['Lung', 'Pneumonia', 'Clinical Research',
       'Emerging Infectious Diseases', 'Infectious Diseases',
       'Pneumonia & Influenza', 'Prevention', 'Vaccine Related'],
      dtype=object), 'full': array([{'id': '410', 'value': 'Lung'},
       {'id': '426', 'value': 'Pneumonia'},
       {'id': '507', 'value': 'Clinical Research'},
       {'id': '520', 'value': 'Emerging Infectious Diseases'},
       {'id': '533', 'value': 'Infectious Diseases'},
       {'id': '556', 'value': 'Pneumonia & Influenza'},
       {'id': '558', 'value': 'Prevention'},
       {'id': '583', 'value': 'Vaccine Related'}], dtype=object)}, 'sdg_v1': None, 'uoa_v1': {'codes': array(['A05'], dtype=object), 'full': array([{'id': '30005', 'code': 'A05', 'name': 'Biological Sciences'}],
      dtype=object)}}"		438		489.0	75004557
8	pub.1125150375	10.1007/s12312-020-00759-2	Clinician Scientists in der Onkologie	2020	Forum	Springer Nature				article	2020-02-27	2020-02-27	2020-04	['closed']	{'bra_v1': None, 'for_v1': None, 'hra_v1': None, 'hrcs_hc_v1': None, 'hrcs_rac_v1': None, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': None, 'sdg_v1': None, 'uoa_v1': None}		0			
9	pub.1125332949	10.3390/vetsci7010028	Horses as a Crucial Part of One Health	2020	Veterinary Sciences	MDPI		32121327		article	2020-02-29	2020-02-29		['oa_all' 'gold']	"{'bra_v1': None, 'for_v1': {'first_level': {'codes': array(['07'], dtype=object), 'full': array([{'id': '2207', 'code': '07', 'name': 'Agricultural and Veterinary Sciences'}],
      dtype=object)}, 'second_level': {'codes': array(['0707'], dtype=object), 'full': array([{'id': '2727', 'code': '0707', 'name': 'Veterinary Sciences'}],
      dtype=object)}}, 'hra_v1': None, 'hrcs_hc_v1': None, 'hrcs_rac_v1': None, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': {'values': array(['Pain Research', 'Chronic Pain', 'Prevention'], dtype=object), 'full': array([{'id': '397', 'value': 'Pain Research'},
       {'id': '421', 'value': 'Chronic Pain'},
       {'id': '558', 'value': 'Prevention'}], dtype=object)}, 'sdg_v1': {'codes': array(['3'], dtype=object), 'full': array([{'id': '40003', 'code': '3', 'name': 'Good Health and Well Being'}],
      dtype=object)}, 'uoa_v1': {'codes': array(['A06'], dtype=object), 'full': array([{'id': '30006', 'code': 'A06', 'name': 'Agriculture, Veterinary and Food Science'}],
      dtype=object)}}"		7		2.0	77182255
