	id	full_name	affiliation_name	affiliation_city	affiliation_country	affiliation_id
81	pub.1125707354	s_kluge	University Medical Center Hamburg-Eppendorf	Hamburg	Germany	grid.13648.38
82	pub.1125707354	h_bone	Knappschaftskrankenhaus Recklinghausen	Recklinghausen	Germany	grid.465291.d
83	pub.1125707354	c_putensen	University Hospital Bonn	Bonn	Germany	grid.15090.3d
84	pub.1125707354	r_rossaint	Universitätsklinikum Aachen	Aachen	Germany	grid.412301.5
85	pub.1125707354	m_quintel	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
86	pub.1125707354	c_spies	Charité - University Medicine Berlin	Berlin	Germany	grid.6363.0
87	pub.1125707354	b_weiss	Charité - University Medicine Berlin	Berlin	Germany	grid.6363.0
88	pub.1125707354	s_john	Nuremberg Hospital	Nuremberg	Germany	grid.419835.2
89	pub.1125707354	m_oppert	Klinikum Ernst von Bergmann	Potsdam	Germany	grid.419816.3
90	pub.1125707354	a_joerres	Witten/Herdecke University	Witten	Germany	grid.412581.b
91	pub.1125707354	t_brenner	University Hospital Heidelberg	Heidelberg	Germany	grid.5253.1
92	pub.1125707354	g_elke	University Hospital Schleswig-Holstein	Kiel	Germany	grid.412468.d
93	pub.1125707354	m_gruendling	Greifswald University Hospital	Greifswald	Germany	grid.412469.c
94	pub.1125707354	k_mayer	Universitätsklinikum Gießen und Marburg	Giessen	Germany	grid.411067.5
95	pub.1125707354	t_felbinger	München Klinik	Munich	Germany	grid.419595.5
96	pub.1125707354	h_axer	Jena University Hospital	Jena	Germany	grid.275559.9
97	pub.1125707354	t_heller	Jena University Hospital	Jena	Germany	grid.275559.9
98	pub.1125707354	n_gagelmann	University Medical Center Hamburg-Eppendorf	Hamburg	Germany	grid.13648.38
99	pub.1125855652	s_konstantinides	Johannes Gutenberg University of Mainz	Mainz	Germany	grid.5802.f
100	pub.1125855652	m_lankeit	Johannes Gutenberg University of Mainz	Mainz	Germany	grid.5802.f
101	pub.1125855652	c_erbel	University Hospital Heidelberg	Heidelberg	Germany	grid.5253.1
102	pub.1125855652	c_tiefenbacher	Marien Hospital Wesel	Wesel	Germany	grid.488381.e
103	pub.1125904816	t_weiss	Berufsgenossenschaftliche Unfallklinik Murnau	Murnau am Staffelsee	Germany	grid.469896.c
104	pub.1125904816	a_disch	University Hospital Carl Gustav Carus	Dresden	Germany	grid.412282.f
105	pub.1125904816	m_kreinest	Berufsgenossenschaftliche Unfallklinik Ludwigshafen	Ludwigshafen am Rhein	Germany	grid.418303.d
106	pub.1125904816	j_jarvers	University Hospital Leipzig	Leipzig	Germany	grid.411339.d
107	pub.1125904816	c_herren	Universitätsklinikum Aachen	Aachen	Germany	grid.412301.5
108	pub.1125904816	m_jung	Berufsgenossenschaftliche Unfallklinik Ludwigshafen	Ludwigshafen am Rhein	Germany	grid.418303.d
109	pub.1125904816	h_meinig	SRH Klinikum Karlsbad-Langensteinbach	Baden-Baden	Germany	grid.490718.3
110	pub.1125904816	h_ruether	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
111	pub.1125904816	t_welk	SRH Klinikum Karlsbad-Langensteinbach	Baden-Baden	Germany	grid.490718.3
112	pub.1125904816	m_ruf	SRH Klinikum Karlsbad-Langensteinbach	Baden-Baden	Germany	grid.490718.3
113	pub.1125904816	a_badke	BG Klinik Tübingen	Tübingen	Germany	grid.482867.7
114	pub.1125904816	o_gonschorek	Berufsgenossenschaftliche Unfallklinik Murnau	Murnau am Staffelsee	Germany	grid.469896.c
115	pub.1125904816	c_heyde	University Hospital Leipzig	Leipzig	Germany	grid.411339.d
116	pub.1125904816	c_knop	Klinikum Stuttgart	Stuttgart	Germany	grid.419842.2
117	pub.1125904816	p_kobbe	Universitätsklinikum Aachen	Aachen	Germany	grid.412301.5
118	pub.1125904816	h_siekmann	University Hospital in Halle	Halle	Germany	grid.461820.9
119	pub.1125904816	u_spiegl	University Hospital Leipzig	Leipzig	Germany	grid.411339.d
120	pub.1125904816	p_strohm	Sozialstiftung Bamberg	Bamberg	Germany	grid.419802.6
121	pub.1125904816	c_struewind	Berufsgenossenschaftliche Unfallklinik Murnau	Murnau am Staffelsee	Germany	grid.469896.c
122	pub.1125947072	j_erlenwein	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
123	pub.1125947072	m_pfingsten	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
124	pub.1125947072	m_hueppe	University Hospital Schleswig-Holstein	Kiel	Germany	grid.412468.d
125	pub.1125947072	d_seeger	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
126	pub.1125947072	a_kaestner	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
127	pub.1125947072	f_petzke	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
128	pub.1125956690	d_wrapp	The University of Texas at Austin	Austin	United States	grid.89336.37
129	pub.1125956690	d_de vlieger	Ghent University	Ghent	Belgium	grid.5342.0
130	pub.1125956690	k_corbett	National Institute of Allergy and Infectious Diseases	Bethesda	United States	grid.419681.3
131	pub.1125956690	g_torres	Dartmouth College	Hanover	United States	grid.254880.3
132	pub.1125956690	w_van breedam	Ghent University	Ghent	Belgium	grid.5342.0
133	pub.1125956690	k_roose	Vlaams Instituut voor Biotechnologie	Ghent	Belgium	grid.11486.3a
134	pub.1125956690	l_van schie	Vlaams Instituut voor Biotechnologie	Ghent	Belgium	grid.11486.3a
135	pub.1125956690	m_hoffmann	German Primate Center	Göttingen	Germany	grid.418215.b
136	pub.1125956690	s_poehlmann	German Primate Center	Göttingen	Germany	grid.418215.b
137	pub.1125956690	b_graham	National Institute of Allergy and Infectious Diseases	Bethesda	United States	grid.419681.3
138	pub.1125956690	n_callewaert	Vlaams Instituut voor Biotechnologie	Ghent	Belgium	grid.11486.3a
139	pub.1125956690	b_schepens	Ghent University	Ghent	Belgium	grid.5342.0
140	pub.1125956690	x_saelens	Ghent University	Ghent	Belgium	grid.5342.0
141	pub.1125956690	j_mclellan	The University of Texas at Austin	Austin	United States	grid.89336.37
142	pub.1125979993	l_gattinoni	University of Göttingen	Göttingen	Germany	grid.7450.6
143	pub.1125979993	s_coppola	Ospedale San Paolo	Milan	Italy	grid.415093.a
144	pub.1125979993	m_cressoni	University of Milano-Bicocca	Milan	Italy	grid.7563.7
145	pub.1125979993	m_busana	University of Göttingen	Göttingen	Germany	grid.7450.6
146	pub.1125979993	s_rossi	Ospedale di Parma	Parma	Italy	grid.411482.a
147	pub.1125979993	d_chiumello	University of Milan	Milan	Italy	grid.4708.b
148	pub.1126005102	g_kampf	University of Greifswald	Greifswald	Germany	grid.5603.0
149	pub.1126005102	a_voss	Canisius-Wilhelmina Ziekenhuis	Nijmegen	Netherlands	grid.413327.0
150	pub.1126005102	s_scheithauer	University of Göttingen	Göttingen	Germany	grid.7450.6
151	pub.1126024433	a_kim	Washington University in St. Louis	St Louis	United States	grid.4367.6
152	pub.1126024433	j_sparks	Brigham and Women's Hospital	Boston	United States	grid.62560.37
153	pub.1126024433	j_liew	University of Washington	Seattle	United States	grid.34477.33
154	pub.1126024433	m_putman	Northwestern University	Evanston	United States	grid.16753.36
155	pub.1126024433	f_berenbaum	Sorbonne University	Paris	France	grid.462844.8
156	pub.1126024433	a_duarte-garcía	Mayo Clinic	Rochester	United States	grid.66875.3a
157	pub.1126024433	e_graef	Beth Israel Deaconess Medical Center	Boston	United States	grid.239395.7
158	pub.1126024433	p_korsten	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
159	pub.1126024433	s_sattui	Hospital for Special Surgery	New York	United States	grid.239915.5
160	pub.1126024433	e_sirotich	McMaster University	Hamilton	Canada	grid.25073.33
161	pub.1126024433	m_ugarte-gil	Scientific University of the South	Lima	Peru	grid.430666.1
162	pub.1126024433	k_webb	University of Cape Town	Rondebosch	South Africa	grid.7836.a
163	pub.1126024433	r_grainger	University of Otago	Dunedin	New Zealand	grid.29980.3a
164	pub.1126172864	j_dehning	Max Planck Institute for Dynamics and Self-Organization	Göttingen	Germany	grid.419514.c
165	pub.1126172864	j_zierenberg	Max Planck Institute for Dynamics and Self-Organization	Göttingen	Germany	grid.419514.c
166	pub.1126172864	f_spitzner	Max Planck Institute for Dynamics and Self-Organization	Göttingen	Germany	grid.419514.c
167	pub.1126172864	m_wibral	University of Göttingen	Göttingen	Germany	grid.7450.6
168	pub.1126172864	j_neto	Max Planck Institute for Dynamics and Self-Organization	Göttingen	Germany	grid.419514.c
169	pub.1126172864	m_wilczek	Max Planck Institute for Dynamics and Self-Organization	Göttingen	Germany	grid.419514.c
170	pub.1126172864	v_priesemann	Max Planck Institute for Dynamics and Self-Organization	Göttingen	Germany	grid.419514.c
171	pub.1126172930	l_truemper	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
172	pub.1126664345	a_lippi	University of Split	Split	Croatia	grid.38603.3e
173	pub.1126664345	r_domingues	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
174	pub.1126664345	c_setz	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
175	pub.1126664345	t_outeiro	Max Planck Institute of Experimental Medicine	Göttingen	Germany	grid.419522.9
176	pub.1126664345	a_krisko	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
177	pub.1126693969	l_gattinoni	University of Göttingen	Göttingen	Germany	grid.7450.6
178	pub.1126693969	d_chiumello	University of Milan	Milan	Italy	grid.4708.b
179	pub.1126693969	s_rossi	Ospedale di Parma	Parma	Italy	grid.411482.a
180	pub.1126701081	e_graef	Beth Israel Deaconess Medical Center	Boston	United States	grid.239395.7
181	pub.1126701081	j_liew	University of Washington	Seattle	United States	grid.34477.33
182	pub.1126701081	m_putman	Northwestern University	Evanston	United States	grid.16753.36
183	pub.1126701081	j_simard	Stanford University	Stanford	United States	grid.168010.e
184	pub.1126701081	e_sirotich	McMaster University	Hamilton	Canada	grid.25073.33
185	pub.1126701081	f_berenbaum	Sorbonne University	Paris	France	grid.462844.8
186	pub.1126701081	a_duarte-garcía	Mayo Clinic	Rochester	United States	grid.66875.3a
187	pub.1126701081	r_grainger	University of Otago	Dunedin	New Zealand	grid.29980.3a
188	pub.1126701081	m_konig	Johns Hopkins University	Baltimore	United States	grid.21107.35
189	pub.1126701081	p_korsten	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
190	pub.1126701081	l_proulx	Canadian Arthritis Patient Alliance	Neuville	Canada	grid.498672.6
191	pub.1126701081	d_richards	Canadian Arthritis Patient Alliance	Neuville	Canada	grid.498672.6
192	pub.1126701081	p_robinson	University of Queensland	Brisbane	Australia	grid.1003.2
193	pub.1126701081	s_sattui	Hospital for Special Surgery	New York	United States	grid.239915.5
194	pub.1126701081	m_ugarte-gil	Scientific University of the South	Lima	Peru	grid.430666.1
195	pub.1126701081	k_young	The University of Texas Southwestern Medical Center	Dallas	United States	grid.267313.2
196	pub.1126701081	a_kim	Washington University in St. Louis	St Louis	United States	grid.4367.6
197	pub.1126701081	j_sparks	Brigham and Women's Hospital	Boston	United States	grid.62560.37
198	pub.1126756640	s_cortese	University of Nottingham	Nottingham	United Kingdom	grid.4563.4
199	pub.1126756640	p_asherson	King's College London	London	United Kingdom	grid.13097.3c
200	pub.1126756640	e_sonuga-barke	King's College London	London	United Kingdom	grid.13097.3c
201	pub.1126756640	t_banaschewski	Central Institute of Mental Health	Mannheim	Germany	grid.413757.3
202	pub.1126756640	d_brandeis	University of Zurich	Zurich	Switzerland	grid.7400.3
203	pub.1126756640	j_buitelaar	Radboud University Nijmegen Medical Centre	Nijmegen	Netherlands	grid.10417.33
204	pub.1126756640	d_coghill	University of Melbourne	Melbourne	Australia	grid.1008.9
205	pub.1126756640	d_daley	University of Nottingham	Nottingham	United Kingdom	grid.4563.4
206	pub.1126756640	m_danckaerts	KU Leuven	Leuven	Belgium	grid.5596.f
207	pub.1126756640	r_dittmann	Central Institute of Mental Health	Mannheim	Germany	grid.413757.3
208	pub.1126756640	m_doepfner	University Hospital Cologne	Cologne	Germany	grid.411097.a
209	pub.1126756640	m_ferrin	National Health Service	London	United Kingdom	grid.451052.7
210	pub.1126756640	c_hollis	University of Nottingham	Nottingham	United Kingdom	grid.4563.4
211	pub.1126756640	m_holtmann	Ruhr University Bochum	Bochum	Germany	grid.5570.7
212	pub.1126756640	e_konofal	Hôpital Robert-Debré	Paris	France	grid.413235.2
213	pub.1126756640	m_lecendreux	Hôpital Robert-Debré	Paris	France	grid.413235.2
214	pub.1126756640	p_santosh	King's College London	London	United Kingdom	grid.13097.3c
215	pub.1126756640	a_rothenberger	University of Göttingen	Göttingen	Germany	grid.7450.6
216	pub.1126756640	c_soutullo	The University of Texas Health Science Center at Houston	Houston	United States	grid.267308.8
217	pub.1126756640	h_steinhausen	University of Southern Denmark	Odense	Denmark	grid.10825.3e
218	pub.1126756640	e_taylor	King's College London	London	United Kingdom	grid.13097.3c
219	pub.1126756640	s_van der oord	University of Amsterdam	Amsterdam	Netherlands	grid.7177.6
220	pub.1126756640	i_wong	University College London	London	United Kingdom	grid.83440.3b
221	pub.1126756640	a_zuddas	University of Cagliari	Cagliari	Italy	grid.7763.5
222	pub.1126756640	e_simonoff	King's College London	London	United Kingdom	grid.13097.3c
223	pub.1126768313	s_mueller	University of Göttingen	Göttingen	Germany	grid.7450.6
224	pub.1126768313	h_rau	University of Göttingen	Göttingen	Germany	grid.7450.6
225	pub.1126843214	m_hoffmann	German Primate Center	Göttingen	Germany	grid.418215.b
226	pub.1126843214	s_schroeder	Humboldt-Universität zu Berlin	Berlin	Germany	grid.7468.d
227	pub.1126843214	h_kleine-weber	German Primate Center	Göttingen	Germany	grid.418215.b
228	pub.1126843214	m_mueller	German Center for Infection Research	Braunschweig	Germany	grid.452463.2
229	pub.1126843214	c_drosten	Humboldt-Universität zu Berlin	Berlin	Germany	grid.7468.d
230	pub.1126843214	s_poehlmann	German Primate Center	Göttingen	Germany	grid.418215.b
231	pub.1126886855	r_lambertz	Helmholtz Centre for Infection Research	Braunschweig	Germany	grid.7490.a
232	pub.1126886855	i_gerhauser	University of Veterinary Medicine Hannover, Foundation	Hanover	Germany	grid.412970.9
233	pub.1126886855	i_nehlmeier	German Primate Center	Göttingen	Germany	grid.418215.b
234	pub.1126886855	s_gaertner	German Primate Center	Göttingen	Germany	grid.418215.b
235	pub.1126886855	m_winkler	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
236	pub.1126886855	s_leist	University of North Carolina System	Chapel Hill	United States	grid.410711.2
237	pub.1126886855	h_kollmus	Helmholtz Centre for Infection Research	Braunschweig	Germany	grid.7490.a
238	pub.1126886855	s_poehlmann	German Primate Center	Göttingen	Germany	grid.418215.b
239	pub.1126886855	k_schughart	Helmholtz Centre for Infection Research	Braunschweig	Germany	grid.7490.a
240	pub.1126923209	j_marini	University of Minnesota	Minneapolis	United States	grid.17635.36
241	pub.1126923209	l_gattinoni	University of Göttingen	Göttingen	Germany	grid.7450.6
242	pub.1127167480	n_sweiss	University of Illinois at Chicago	Chicago	United States	grid.185648.6
243	pub.1127167480	p_korsten	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
244	pub.1127167480	h_syed	Virginia Commonwealth University	Richmond	United States	grid.224260.0
245	pub.1127167480	a_syed	Virginia Commonwealth University	Richmond	United States	grid.224260.0
246	pub.1127167480	r_baughman	University of Cincinnati Medical Center	Cincinnati	United States	grid.413561.4
247	pub.1127167480	a_yee	Cornell University	Ithaca	United States	grid.5386.8
248	pub.1127167480	d_culver	Cleveland Clinic	Cleveland	United States	grid.239578.2
249	pub.1127167480	t_sosenko	University of Illinois at Chicago	Chicago	United States	grid.185648.6
250	pub.1127167480	a_azuma	Nippon Medical School	Tokyo	Japan	grid.410821.e
251	pub.1127167480	f_bonella	University of Duisburg-Essen	Essen	Germany	grid.5718.b
252	pub.1127167480	u_costabel	University of Duisburg-Essen	Essen	Germany	grid.5718.b
253	pub.1127167480	w_drake	Vanderbilt University	Nashville	United States	grid.152326.1
254	pub.1127167480	m_drent	St. Antonius Ziekenhuis	Nieuwegein	Netherlands	grid.415960.f
255	pub.1127167480	e_lower	University of Cincinnati Medical Center	Cincinnati	United States	grid.413561.4
256	pub.1127167480	d_israel-biet	University of Paris	Paris	France	grid.508487.6
257	pub.1127167480	r_mostard	Zuyderland Medisch Centrum	Sittard	Netherlands	grid.416905.f
258	pub.1127167480	h_nunes	Hôpital Avicenne	Bobigny	France	grid.413780.9
259	pub.1127167480	p_rottoli	University of Siena	Siena	Italy	grid.9024.f
260	pub.1127167480	p_spagnolo	University of Padua	Padova	Italy	grid.5608.b
261	pub.1127167480	a_wells	Royal Brompton Hospital	London	United Kingdom	grid.439338.6
262	pub.1127167480	w_wuyts	Universitair Ziekenhuis Leuven	Leuven	Belgium	grid.410569.f
263	pub.1127167480	m_judson	Albany Medical Center Hospital	Albany	United States	grid.413558.e
264	pub.1127173148	h_hillen	Max Planck Institute for Biophysical Chemistry	Göttingen	Germany	grid.418140.8
265	pub.1127173148	g_kokic	Max Planck Institute for Biophysical Chemistry	Göttingen	Germany	grid.418140.8
266	pub.1127173148	l_farnung	Max Planck Institute for Biophysical Chemistry	Göttingen	Germany	grid.418140.8
267	pub.1127173148	c_dienemann	Max Planck Institute for Biophysical Chemistry	Göttingen	Germany	grid.418140.8
268	pub.1127173148	d_tegunov	Max Planck Institute for Biophysical Chemistry	Göttingen	Germany	grid.418140.8
269	pub.1127173148	p_cramer	Max Planck Institute for Biophysical Chemistry	Göttingen	Germany	grid.418140.8
270	pub.1127181753	s_mihm	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
271	pub.1127239016	k_schrenk	University of Tübingen	Tübingen	Germany	grid.10392.39
272	pub.1127239016	r_khoramnia	Augenklinik Heidelberg	Heidelberg	Germany	grid.470019.b
273	pub.1127239016	n_feltgen	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
274	pub.1127239016	f_ziemssen	University of Tübingen	Tübingen	Germany	grid.10392.39
275	pub.1127239016	j_rohrbach	University of Tübingen	Tübingen	Germany	grid.10392.39
276	pub.1127239016	s_dimopoulos	University of Tübingen	Tübingen	Germany	grid.10392.39
277	pub.1127241353	m_schroeder	TU Dresden	Dresden	Germany	grid.4488.0
278	pub.1127241353	a_bossert	University of Göttingen	Göttingen	Germany	grid.7450.6
279	pub.1127241353	m_kersting	Max Planck Institute for Dynamics and Self-Organization	Göttingen	Germany	grid.419514.c
280	pub.1127241353	s_aeffner	Universitätsmedizin Göttingen	Göttingen	Germany	grid.411984.1
281	pub.1127241353	m_timme	University of Göttingen	Göttingen	Germany	grid.7450.6
282	pub.1127241353	j_schlueter	University of Göttingen	Göttingen	Germany	grid.7450.6
283	pub.1127244380	g_kampf	University of Greifswald	Greifswald	Germany	grid.5603.0
284	pub.1127244380	s_scheithauer	University of Göttingen	Göttingen	Germany	grid.7450.6
285	pub.1127244380	s_lemmen	Universitätsklinikum Aachen	Aachen	Germany	grid.412301.5
286	pub.1127244380	p_saliou	University of Western Brittany	Brest	France	grid.6289.5
287	pub.1127244380	m_suchomel	Medical University of Vienna	Vienna	Austria	grid.22937.3d
288	pub.1127259675	m_hoffmann	German Primate Center	Göttingen	Germany	grid.418215.b
289	pub.1127259675	h_kleine-weber	German Primate Center	Göttingen	Germany	grid.418215.b
290	pub.1127259675	s_poehlmann	German Primate Center	Göttingen	Germany	grid.418215.b
291	pub.1127376888	d_wrapp	The University of Texas at Austin	Austin	United States	grid.89336.37
292	pub.1127376888	d_de vlieger	Ghent University	Ghent	Belgium	grid.5342.0
293	pub.1127376888	k_corbett	National Institute of Allergy and Infectious Diseases	Bethesda	United States	grid.419681.3
294	pub.1127376888	g_torres	Dartmouth College	Hanover	United States	grid.254880.3
295	pub.1127376888	n_wang	The University of Texas at Austin	Austin	United States	grid.89336.37
296	pub.1127376888	w_van breedam	Ghent University	Ghent	Belgium	grid.5342.0
297	pub.1127376888	k_roose	Vlaams Instituut voor Biotechnologie	Ghent	Belgium	grid.11486.3a
298	pub.1127376888	l_van schie	Vlaams Instituut voor Biotechnologie	Ghent	Belgium	grid.11486.3a
299	pub.1127376888	v_team	Ghent University	Ghent	Belgium	grid.5342.0
300	pub.1127376888	m_hoffmann	German Primate Center	Göttingen	Germany	grid.418215.b
301	pub.1127376888	s_poehlmann	German Primate Center	Göttingen	Germany	grid.418215.b
